txn_id,customer_id,amount,merchant_category,txn_time,location,device_id
0,1860,1080,Jewellery,2026-03-24 04:24:57,Chennai,1487
1,1186,2873,Jewellery,2026-04-16 15:58:08,Chennai,302
2,1475,3316,Jewellery,2026-03-23 16:14:25,Delhi,417
3,1147,50,Grocery,2026-04-12 19:52:08,Chennai,208
4,1347,50,Food,2026-04-06 14:05:24,Delhi,1067
5,260,5775,Grocery,2026-04-16 11:42:28,Delhi,1762
6,170,50,Jewellery,2026-04-06 09:11:24,Bangalore,361
7,454,4605,Grocery,2026-04-10 16:49:34,Chennai,709
8,206,875,Food,2026-04-06 22:18:09,Mumbai,831
9,757,5079,Electronics,2026-04-12 11:04:45,Chennai,1367
10,122,163,Jewellery,2026-04-17 21:36:25,Chennai,1397
11,601,5090,Jewellery,2026-04-07 21:50:00,Hyderabad,122
12,361,3474,Food,2026-04-06 14:45:08,Chennai,1004
13,241,1758,Food,2026-04-02 07:04:22,Hyderabad,1533
14,1477,2229,Food,2026-03-24 17:19:51,Bangalore,1875
15,90,2646,Food,2026-04-10 08:20:29,Mumbai,1393
16,1919,3056,Jewellery,2026-04-16 11:57:28,Mumbai,1590
17,643,2072,Jewellery,2026-03-28 13:27:58,Hyderabad,1863
18,1030,1487,Electronics,2026-04-15 03:24:17,Chennai,1710
19,1471,4286,Electronics,2026-04-18 15:06:12,Pune,713
20,1472,5191,Jewellery,2026-04-05 10:55:53,Bangalore,1003
21,370,3988,Jewellery,2026-03-30 09:15:35,Delhi,1761
22,1525,1276,Electronics,2026-03-30 23:31:07,Hyderabad,984
23,809,3744,Jewellery,2026-04-11 13:37:47,Mumbai,1418
24,1441,3768,Food,2026-03-30 05:44:41,Pune,893
25,1984,1527,Jewellery,2026-04-01 14:45:51,Chennai,47
26,1885,4105,Electronics,2026-04-08 00:55:44,Chennai,1646
27,1050,50,Food,2026-04-01 22:39:41,Chennai,1349
28,701,1906,Grocery,2026-03-29 18:05:18,Chennai,49
29,494,4035,Grocery,2026-04-02 11:27:25,Hyderabad,209
30,1994,50,Travel,2026-04-08 07:28:05,Pune,9
31,642,4199,Food,2026-04-11 13:04:20,Bangalore,1791
32,156,1309,Electronics,2026-03-30 21:55:44,Pune,502
33,232,4383,Food,2026-03-23 10:41:16,Mumbai,1411
34,469,6138,Food,2026-04-02 16:43:51,Bangalore,1931
35,63,5005,Grocery,2026-03-26 00:20:59,Chennai,1775
36,883,4014,Travel,2026-04-12 03:26:36,Pune,393
37,655,3217,Electronics,2026-04-11 17:10:08,Pune,1680
38,846,4489,Electronics,2026-04-03 22:36:43,Mumbai,1333
39,1419,3910,Grocery,2026-04-21 07:34:52,Chennai,1804
40,1892,2567,Travel,2026-04-20 16:59:43,Mumbai,1053
41,872,4153,Jewellery,2026-04-11 18:47:52,Delhi,1497
42,1131,847,Electronics,2026-04-17 06:21:58,Hyderabad,1543
43,1742,3507,Travel,2026-04-04 17:43:34,Pune,643
44,801,3183,Electronics,2026-04-18 16:15:08,Bangalore,0
45,378,1161,Grocery,2026-03-28 00:00:08,Hyderabad,982
46,1567,986,Jewellery,2026-04-20 07:14:17,Chennai,1006
47,1145,2154,Travel,2026-04-13 06:39:46,Bangalore,221
48,1126,2806,Jewellery,2026-04-08 18:35:39,Chennai,1413
49,949,3580,Food,2026-04-06 19:29:36,Chennai,1775
50,1218,2635,Food,2026-03-23 13:13:13,Pune,1908
51,1614,1808,Travel,2026-03-31 10:35:32,Hyderabad,1898
52,796,50,Grocery,2026-04-11 05:56:09,Mumbai,1588
53,1784,4052,Food,2026-04-16 10:37:21,Bangalore,1747
54,1797,1139,Jewellery,2026-03-28 14:47:27,Hyderabad,92
55,896,3110,Grocery,2026-04-11 22:05:03,Bangalore,1254
56,1255,1807,Electronics,2026-03-30 16:00:02,Hyderabad,867
57,798,1700,Food,2026-04-13 07:17:59,Bangalore,252
58,334,1201,Jewellery,2026-04-04 07:37:14,Chennai,69
59,132,2073,Grocery,2026-04-18 13:36:53,Pune,1694
60,477,3616,Jewellery,2026-04-17 17:09:26,Delhi,168
61,661,50,Grocery,2026-04-04 04:35:38,Pune,1305
62,52,504,Jewellery,2026-04-14 15:03:11,Hyderabad,1158
63,1959,3713,Food,2026-04-05 08:32:20,Bangalore,1222
64,1257,2643,Jewellery,2026-04-02 18:55:42,Bangalore,163
65,330,1326,Electronics,2026-04-04 16:17:52,Bangalore,207
66,623,3594,Electronics,2026-04-15 14:20:15,Hyderabad,1053
67,364,1707,Travel,2026-04-12 02:39:59,Bangalore,1360
68,119,3998,Jewellery,2026-03-24 10:34:17,Mumbai,841
69,129,216,Jewellery,2026-04-13 13:15:45,Mumbai,1496
70,1895,3106,Electronics,2026-03-26 12:48:41,Delhi,1848
71,1414,3024,Electronics,2026-04-08 08:27:26,Chennai,1666
72,759,4251,Travel,2026-04-18 00:40:58,Mumbai,152
73,369,2042,Jewellery,2026-04-12 08:34:37,Pune,333
74,264,2247,Travel,2026-04-03 00:24:08,Hyderabad,678
75,1109,4754,Electronics,2026-04-18 10:29:29,Bangalore,929
76,146,4348,Electronics,2026-04-10 16:56:02,Chennai,611
77,1755,3973,Food,2026-04-11 04:35:00,Hyderabad,1028
78,1901,2884,Grocery,2026-04-16 10:59:26,Chennai,1816
79,1932,4381,Electronics,2026-03-28 02:43:33,Bangalore,1804
80,1654,3283,Jewellery,2026-04-02 09:49:54,Mumbai,792
81,661,925,Jewellery,2026-04-07 15:45:38,Pune,910
82,835,1846,Grocery,2026-03-27 16:34:41,Mumbai,1918
83,437,4720,Electronics,2026-04-01 04:08:39,Chennai,1556
84,1095,2682,Electronics,2026-03-28 21:45:02,Bangalore,1451
85,1917,3723,Food,2026-03-25 06:02:29,Chennai,1383
86,1579,2575,Jewellery,2026-03-28 18:00:32,Chennai,652
87,1225,2662,Grocery,2026-04-12 03:46:27,Bangalore,867
88,1484,4286,Travel,2026-04-13 22:09:08,Pune,1986
89,339,1216,Grocery,2026-03-23 17:06:35,Mumbai,1094
90,367,3233,Travel,2026-04-09 08:17:22,Chennai,74
91,1088,3841,Travel,2026-04-06 17:41:48,Chennai,1539
92,1551,4021,Jewellery,2026-03-29 19:31:54,Bangalore,1273
93,633,3818,Food,2026-04-04 05:21:52,Delhi,1574
94,1037,5470,Electronics,2026-04-13 19:24:58,Mumbai,1247
95,556,6412,Food,2026-04-20 18:04:12,Mumbai,24
96,1547,1851,Jewellery,2026-03-29 04:22:57,Delhi,1893
97,2,5999,Travel,2026-04-21 10:20:19,Chennai,1650
98,1527,4117,Jewellery,2026-04-19 09:03:02,Chennai,129
99,509,3543,Jewellery,2026-03-26 19:19:48,Chennai,1150
100,1011,1411,Travel,2026-03-25 13:17:30,Hyderabad,1804
101,871,6258,Travel,2026-03-30 00:17:41,Mumbai,1231
102,953,5033,Food,2026-04-15 02:27:39,Delhi,1762
103,1367,4774,Electronics,2026-04-21 05:03:05,Pune,457
104,572,5599,Electronics,2026-04-18 06:41:47,Pune,1754
105,1917,3094,Electronics,2026-04-07 04:57:35,Pune,1643
106,95,2876,Grocery,2026-04-14 23:08:09,Pune,702
107,870,480,Grocery,2026-04-07 09:02:47,Bangalore,1018
108,1692,5679,Grocery,2026-04-19 02:59:16,Hyderabad,84
109,346,3527,Travel,2026-04-14 19:28:11,Chennai,1326
110,1326,124,Electronics,2026-04-18 10:11:14,Delhi,787
111,128,4300,Grocery,2026-04-12 02:34:26,Bangalore,490
112,1337,6097,Electronics,2026-03-30 06:26:37,Bangalore,1007
113,1135,2942,Electronics,2026-04-11 08:41:40,Hyderabad,1667
114,1850,1325,Grocery,2026-04-09 10:03:05,Delhi,1771
115,1538,1103,Jewellery,2026-04-04 02:42:41,Hyderabad,1785
116,1535,4351,Food,2026-04-20 16:39:38,Delhi,571
117,24,1276,Grocery,2026-04-04 13:31:57,Hyderabad,1716
118,715,528,Jewellery,2026-04-21 02:48:35,Delhi,1011
119,1837,2573,Grocery,2026-04-08 15:37:44,Bangalore,1815
120,1803,866,Jewellery,2026-04-13 14:09:27,Bangalore,1303
121,234,2300,Electronics,2026-04-17 05:20:44,Delhi,559
122,1794,5418,Electronics,2026-03-27 03:28:22,Chennai,1796
123,960,69,Food,2026-03-27 21:30:29,Bangalore,1454
124,1272,4743,Jewellery,2026-04-07 01:57:45,Chennai,944
125,122,1901,Electronics,2026-04-17 12:04:30,Bangalore,1
126,167,1992,Travel,2026-03-31 15:40:49,Pune,399
127,373,4650,Food,2026-04-16 01:52:44,Bangalore,928
128,805,4844,Grocery,2026-04-13 19:00:09,Bangalore,1064
129,1818,994,Jewellery,2026-04-11 09:40:33,Pune,932
130,406,1679,Food,2026-03-24 09:26:57,Bangalore,1791
131,57,4333,Food,2026-04-11 07:44:33,Chennai,506
132,1568,3310,Travel,2026-03-30 05:56:39,Pune,1776
133,1764,6365,Food,2026-03-28 19:15:28,Delhi,1890
134,727,2614,Food,2026-04-12 21:58:06,Mumbai,26
135,1452,384,Jewellery,2026-04-01 13:33:33,Pune,1449
136,798,1806,Travel,2026-04-21 02:01:49,Bangalore,578
137,1780,2412,Electronics,2026-03-26 00:55:03,Delhi,534
138,767,5516,Grocery,2026-04-11 17:25:21,Pune,488
139,1994,50,Travel,2026-03-30 21:22:32,Pune,1950
140,1303,4762,Electronics,2026-03-30 23:10:52,Delhi,1847
141,1899,5564,Jewellery,2026-04-03 09:20:55,Pune,806
142,1711,3253,Electronics,2026-04-18 22:33:01,Hyderabad,1915
143,1866,2028,Food,2026-03-29 04:00:55,Mumbai,1179
144,67,991,Food,2026-04-19 03:09:34,Hyderabad,1384
145,1726,3114,Jewellery,2026-04-18 23:28:52,Delhi,1428
146,670,4648,Jewellery,2026-03-23 22:02:55,Bangalore,1223
147,1141,1668,Electronics,2026-03-28 06:34:18,Mumbai,206
148,1407,4878,Travel,2026-03-23 03:09:45,Mumbai,162
149,161,2056,Electronics,2026-04-21 13:05:36,Delhi,1064
150,937,4026,Grocery,2026-04-14 06:42:32,Delhi,1600
151,0,1789,Jewellery,2026-04-10 23:04:08,Delhi,232
152,911,3683,Jewellery,2026-04-20 13:33:35,Bangalore,1581
153,211,625,Grocery,2026-04-09 22:51:24,Hyderabad,784
154,1146,2611,Electronics,2026-03-25 05:27:38,Delhi,1385
155,1358,2355,Electronics,2026-04-08 07:58:14,Bangalore,633
156,1702,350,Electronics,2026-04-05 01:19:27,Chennai,221
157,1367,3032,Travel,2026-03-23 15:00:47,Delhi,48
158,1390,2847,Jewellery,2026-04-16 05:42:30,Chennai,1051
159,1537,3347,Food,2026-04-13 05:30:29,Bangalore,1208
160,1194,1147,Electronics,2026-04-17 23:31:33,Bangalore,843
161,855,2465,Food,2026-04-11 15:15:37,Pune,1623
162,148,2038,Travel,2026-03-23 23:10:27,Pune,1904
163,961,965,Travel,2026-03-27 23:12:28,Hyderabad,608
164,1490,2951,Jewellery,2026-04-11 21:55:51,Bangalore,1069
165,1105,963,Grocery,2026-04-13 05:48:19,Pune,1699
166,1002,2351,Jewellery,2026-04-12 12:41:46,Mumbai,369
167,334,1293,Travel,2026-04-17 12:41:25,Chennai,1794
